list,trials,item,conditions,D,C,F,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,noun,sharpness
3,48,33,fbrdf,BR-A,NA,BR-CE,9,10,3,2,9,1,brown,brown,black,green,green,orange,circle,star,circle,circle,star,star,Aufkleber,sharp
3,49,33,fercf,NA,R-CE,NR-CE,10,10,3,10,10,2,brown,black,black,black,black,black,circle,circle,circle,circle,circle,star,Aufkleber,sharp
3,50,33,ferdc,R-A,NR-CE,NA,9,1,2,1,2,1,brown,brown,brown,brown,brown,black,triangle,circle,quadrat,triangle,quadrat,triangle,Aufkleber,sharp
3,51,33,ferdf,R-A,NA,NR-CE,9,1,2,1,2,1,green,blue,black,grey,grey,orange,circle,circle,circle,circle,circle,star,Aufkleber,sharp
3,52,33,fzrcf,NA,NR-CE,R-CE,3,10,3,3,1,2,brown,brown,brown,brown,brown,black,circle,star,star,star,star,star,Aufkleber,sharp
3,53,33,fzrdc,NR-A,R-CE,NA,10,10,9,9,10,1,brown,black,black,black,black,black,circle,diamond,diamond,diamond,quadrat,heart,Aufkleber,sharp
3,54,33,fzrdf,NR-A,NA,R-CE,10,10,9,9,10,1,green,orange,green,orange,black,grey,circle,star,star,star,star,star,Aufkleber,sharp
3,55,34,fbrdc,BR-A,BR-AB,NA,9,9,3,3,9,1,blue,orange,blue,blue,orange,orange,diamond,quadrat,triangle,heart,heart,quadrat,Aufkleber,sharp
3,56,34,fbrdf,BR-B,NA,BR-AB,9,9,1,2,10,1,grey,brown,brown,brown,brown,brown,triangle,diamond,triangle,triangle,diamond,diamond,Aufkleber,sharp
3,57,34,fbrcf,NA,BR-BA,BR-BA,3,2,1,2,9,1,orange,orange,blue,blue,orange,blue,diamond,triangle,diamond,diamond,triangle,triangle,Aufkleber,sharp
3,58,34,ferdc,R-A,NR-AC,NA,10,3,1,1,2,1,blue,blue,blue,blue,blue,brown,heart,star,quadrat,heart,heart,triangle,Aufkleber,sharp
3,59,34,ferdf,R-B,NA,NR-AC,9,3,3,2,2,2,green,brown,green,brown,green,black,triangle,triangle,triangle,triangle,triangle,circle,Aufkleber,sharp
3,60,34,fercf,NA,R-CA,NR-CA,3,10,9,3,1,9,brown,blue,blue,blue,blue,blue,circle,circle,circle,circle,circle,triangle,Aufkleber,sharp
3,61,34,fzrdc,NR-A,R-AD,NA,10,9,9,10,10,2,blue,grey,grey,grey,grey,grey,heart,diamond,triangle,quadrat,heart,quadrat,Aufkleber,sharp
3,62,34,fzrdf,NR-B,NA,R-AD,9,10,9,10,10,2,green,blue,brown,green,blue,orange,triangle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,sharp
3,63,34,fzrcf,NA,NR-DA,R-DA,9,2,9,9,10,2,grey,grey,grey,grey,grey,blue,quadrat,triangle,triangle,triangle,triangle,triangle,Aufkleber,sharp
3,64,35,fbrdc,BR-A,BR-AE,NA,10,9,3,2,10,1,blue,black,blue,blue,black,black,heart,circle,circle,circle,diamond,quadrat,Aufkleber,sharp
3,65,35,fbrdf,BR-B,NA,BR-AE,10,10,2,1,9,2,blue,grey,orange,orange,orange,blue,triangle,star,triangle,triangle,star,star,Aufkleber,sharp
3,66,35,fbrcf,NA,BR-EA,BR-EA,9,3,3,2,9,2,black,black,blue,blue,black,blue,star,triangle,star,star,triangle,triangle,Aufkleber,sharp
3,67,35,ferdc,R-A,NR-AF,NA,9,1,2,3,3,1,blue,blue,blue,blue,blue,green,circle,star,triangle,triangle,star,triangle,Aufkleber,sharp
3,68,35,ferdf,R-B,NA,NR-AF,10,1,3,1,3,3,blue,black,green,blue,grey,brown,triangle,triangle,triangle,triangle,triangle,heart,Aufkleber,sharp
3,69,35,fercf,NA,R-FA,NR-FA,3,3,1,1,10,10,green,blue,blue,blue,blue,blue,heart,heart,heart,heart,heart,triangle,Aufkleber,sharp
3,70,35,fzrdc,NR-A,R-BC,NA,9,9,10,9,9,3,orange,brown,brown,brown,brown,brown,triangle,heart,quadrat,heart,quadrat,quadrat,Aufkleber,sharp
3,71,35,fzrdf,NR-B,NA,R-BC,10,9,9,10,10,3,orange,brown,green,green,black,grey,diamond,circle,circle,circle,circle,circle,Aufkleber,sharp
3,72,35,fzrcf,NA,NR-CB,R-CB,1,10,9,9,10,1,brown,brown,brown,brown,brown,orange,circle,diamond,diamond,diamond,diamond,diamond,Aufkleber,sharp
3,73,36,fbrdc,BR-A,BR-BD,NA,10,9,1,2,10,2,orange,grey,orange,orange,grey,grey,quadrat,heart,star,quadrat,circle,diamond,Aufkleber,sharp
3,74,36,fbrdf,BR-B,NA,BR-BD,9,9,3,2,10,1,black,grey,grey,black,brown,blue,diamond,quadrat,diamond,diamond,quadrat,quadrat,Aufkleber,sharp
3,75,36,fbrcf,NA,BR-DB,BR-DB,9,2,9,10,2,1,grey,grey,orange,orange,grey,orange,quadrat,diamond,quadrat,quadrat,diamond,diamond,Aufkleber,sharp
3,76,36,ferdc,R-A,NR-BE,NA,10,2,2,2,3,2,orange,orange,orange,orange,orange,black,star,diamond,quadrat,triangle,quadrat,triangle,Aufkleber,sharp
3,77,36,ferdf,R-B,NA,NR-BE,10,3,3,1,3,2,orange,black,green,blue,brown,blue,diamond,diamond,diamond,diamond,diamond,star,Aufkleber,sharp
3,78,36,fercf,NA,R-EB,NR-EB,2,2,3,2,1,9,black,orange,orange,orange,orange,orange,star,star,star,star,star,diamond,Aufkleber,sharp
3,79,36,fzrdc,NR-A,R-BF,NA,9,9,10,10,9,2,orange,green,green,green,green,green,quadrat,star,star,quadrat,quadrat,heart,Aufkleber,sharp
3,80,36,fzrdf,NR-B,NA,R-BF,10,10,9,9,10,2,blue,green,green,grey,brown,brown,diamond,heart,heart,heart,heart,heart,Aufkleber,sharp
3,81,36,fzrcf,NA,NR-FB,R-FB,3,2,9,2,2,1,green,green,green,green,green,orange,heart,diamond,diamond,diamond,diamond,diamond,Aufkleber,sharp
3,82,37,fbrdc,BR-A,BR-CD,NA,9,10,2,3,10,3,brown,grey,brown,brown,grey,grey,quadrat,star,diamond,quadrat,star,circle,Aufkleber,sharp
3,83,37,fbrdf,BR-B,NA,BR-CD,10,9,1,3,10,2,blue,blue,grey,brown,blue,blue,circle,quadrat,circle,circle,quadrat,quadrat,Aufkleber,sharp
3,84,37,fbrcf,NA,BR-DC,BR-DC,2,1,3,1,3,10,grey,grey,brown,brown,grey,brown,quadrat,circle,quadrat,quadrat,circle,circle,Aufkleber,sharp
3,85,37,ferdc,R-A,NR-CE,NA,10,2,2,2,1,3,brown,brown,brown,brown,brown,black,quadrat,quadrat,star,triangle,quadrat,circle,Aufkleber,sharp
3,86,37,ferdf,R-B,NA,NR-CE,10,3,1,3,1,1,green,grey,black,green,grey,brown,circle,circle,circle,circle,circle,star,Aufkleber,sharp
3,87,37,fercf,NA,R-EC,NR-EC,1,10,9,9,3,2,black,brown,brown,brown,brown,brown,star,star,star,star,star,circle,Aufkleber,sharp
3,88,37,fzrdc,NR-A,R-CF,NA,9,9,10,9,10,3,brown,green,green,green,green,green,triangle,circle,star,diamond,circle,diamond,Aufkleber,sharp
3,89,37,fzrdf,NR-B,NA,R-CF,10,9,10,10,9,2,green,grey,green,orange,black,brown,circle,heart,heart,heart,heart,heart,Aufkleber,sharp
3,90,37,fzrcf,NA,NR-FC,R-FC,3,10,2,10,1,2,green,green,green,green,green,brown,heart,circle,circle,circle,circle,circle,Aufkleber,sharp
3,91,38,fbrdc,BR-A,BR-DE,NA,10,9,1,2,9,3,grey,black,grey,grey,black,black,star,triangle,quadrat,circle,diamond,circle,Aufkleber,sharp
3,92,38,fbrdf,BR-B,NA,BR-DE,10,9,3,2,10,3,orange,black,green,blue,green,green,quadrat,star,quadrat,quadrat,star,star,Aufkleber,sharp
3,93,38,fbrcf,NA,BR-ED,BR-ED,10,10,1,2,3,9,black,black,grey,grey,black,grey,star,quadrat,star,star,quadrat,quadrat,Aufkleber,sharp
3,94,38,ferdc,R-A,NR-DF,NA,9,1,3,3,2,2,grey,grey,grey,grey,grey,green,heart,quadrat,triangle,diamond,quadrat,triangle,Aufkleber,sharp
3,95,38,ferdf,R-B,NA,NR-DF,9,1,1,1,2,1,orange,green,orange,green,grey,blue,quadrat,quadrat,quadrat,quadrat,quadrat,heart,Aufkleber,sharp
3,96,38,fercf,NA,R-FD,NR-FD,10,10,10,9,3,9,green,grey,grey,grey,grey,grey,heart,heart,heart,heart,heart,quadrat,Aufkleber,sharp
3,97,38,fzrdc,NR-A,R-EF,NA,10,9,10,9,9,1,black,green,green,green,green,green,diamond,star,heart,quadrat,diamond,star,Aufkleber,sharp
3,98,38,fzrdf,NR-B,NA,R-EF,10,10,10,9,9,1,brown,blue,brown,blue,grey,orange,star,heart,heart,heart,heart,heart,Aufkleber,sharp
3,99,38,fzrcf,NA,NR-FE,R-FE,3,10,3,3,10,10,black,black,black,black,black,green,star,heart,star,star,heart,heart,Aufkleber,sharp
6,1,1,brcf,NA,BR-AB,BR-AB,3,2,2,10,10,1,blue,blue,orange,orange,blue,orange,triangle,diamond,triangle,triangle,diamond,diamond,Aufkleber,blurred
4,2,1,brdc,BR-A,BR-AB,NA,10,9,3,1,9,2,blue,orange,blue,blue,orange,orange,quadrat,triangle,circle,circle,diamond,diamond,Aufkleber,blurred
5,3,1,brdf,BR-A,NA,BR-AB,10,9,3,1,9,2,black,brown,blue,blue,green,black,triangle,diamond,triangle,triangle,diamond,diamond,Aufkleber,blurred
6,4,1,ercf,NA,R-AB,NR-AB,3,1,9,9,9,3,blue,orange,orange,orange,orange,orange,triangle,triangle,triangle,triangle,triangle,diamond,Aufkleber,blurred
4,5,1,erdc,R-A,NR-AB,NA,10,4,4,2,2,5,blue,blue,blue,blue,blue,orange,star,quadrat,triangle,star,heart,diamond,Aufkleber,blurred
5,6,1,erdf,R-A,NA,NR-AB,10,4,4,2,2,5,black,blue,blue,green,black,green,triangle,triangle,triangle,triangle,triangle,diamond,Aufkleber,blurred
6,7,1,zrcf,NA,NR-AB,R-AB,1,3,9,9,3,9,blue,blue,blue,blue,blue,orange,triangle,diamond,diamond,diamond,diamond,diamond,Aufkleber,blurred
4,8,1,zrdc,NR-A,R-AB,NA,10,10,9,9,9,6,blue,orange,orange,orange,orange,orange,circle,quadrat,star,diamond,star,heart,Aufkleber,blurred
5,9,1,zrdf,NR-A,NA,R-AB,10,10,9,9,9,6,blue,brown,grey,orange,black,brown,triangle,diamond,diamond,diamond,diamond,diamond,Aufkleber,blurred
4,1,10,brcf,NA,BR-BA,BR-AB,1,10,1,2,3,9,orange,orange,blue,blue,orange,blue,triangle,diamond,triangle,triangle,diamond,diamond,Aufkleber,blurred
5,2,10,brdc,BR-B,BR-BA,NA,10,9,3,1,10,1,orange,blue,orange,orange,blue,blue,heart,triangle,circle,quadrat,circle,quadrat,Aufkleber,blurred
6,3,10,brdf,BR-B,NA,BR-AB,10,9,3,1,10,1,blue,grey,grey,orange,grey,black,triangle,diamond,triangle,triangle,diamond,diamond,Aufkleber,blurred
4,4,10,ercf,NA,R-BA,NR-AB,2,3,2,9,9,1,orange,blue,blue,blue,blue,blue,triangle,triangle,triangle,triangle,triangle,diamond,Aufkleber,blurred
5,5,10,erdc,R-B,NR-BA,NA,10,6,5,3,2,3,orange,orange,orange,orange,orange,blue,triangle,quadrat,quadrat,diamond,quadrat,heart,Aufkleber,blurred
6,6,10,erdf,R-B,NA,NR-AB,10,6,5,3,2,3,brown,black,blue,black,grey,brown,triangle,triangle,triangle,triangle,triangle,diamond,Aufkleber,blurred
4,7,10,zrcf,NA,NR-BA,R-AB,9,3,9,9,2,1,orange,orange,orange,orange,orange,blue,triangle,diamond,diamond,diamond,diamond,diamond,Aufkleber,blurred
5,8,10,zrdc,NR-B,R-BA,NA,9,9,10,9,9,3,orange,blue,blue,blue,blue,blue,heart,quadrat,quadrat,diamond,triangle,quadrat,Aufkleber,blurred
6,9,10,zrdf,NR-B,NA,R-AB,9,9,10,9,9,3,black,black,grey,black,orange,orange,triangle,diamond,diamond,diamond,diamond,diamond,Aufkleber,blurred
5,1,19,brcf,NA,BR-AB,BR-BA,10,3,1,2,9,3,blue,blue,orange,orange,blue,orange,diamond,triangle,diamond,diamond,triangle,triangle,Aufkleber,blurred
6,2,19,brdc,BR-A,BR-AB,NA,9,10,5,1,10,2,blue,orange,blue,blue,orange,orange,circle,diamond,heart,circle,quadrat,circle,Aufkleber,blurred
4,3,19,brdf,BR-A,NA,BR-BA,9,10,5,1,10,2,black,blue,brown,orange,black,black,diamond,triangle,diamond,diamond,triangle,triangle,Aufkleber,blurred
5,4,19,ercf,NA,R-AB,NR-BA,10,2,1,3,10,2,blue,orange,orange,orange,orange,orange,diamond,diamond,diamond,diamond,diamond,triangle,Aufkleber,blurred
6,5,19,erdc,R-A,NR-BA,NA,9,1,6,5,1,2,orange,orange,orange,orange,orange,blue,triangle,diamond,quadrat,quadrat,heart,heart,Aufkleber,blurred
4,6,19,erdf,R-A,NA,NR-BA,9,1,6,5,1,2,green,blue,green,green,grey,brown,diamond,diamond,diamond,diamond,diamond,triangle,Aufkleber,blurred
5,7,19,zrcf,NA,NR-BA,R-BA,3,10,2,10,3,10,orange,orange,orange,orange,orange,blue,diamond,triangle,triangle,triangle,triangle,triangle,Aufkleber,blurred
6,8,19,zrdc,NR-A,R-AB,NA,10,9,9,10,10,1,blue,orange,orange,orange,orange,orange,quadrat,circle,diamond,quadrat,star,quadrat,Aufkleber,blurred
4,9,19,zrdf,NR-A,NA,R-BA,10,9,9,10,10,1,grey,blue,green,grey,grey,black,diamond,triangle,triangle,triangle,triangle,triangle,Aufkleber,blurred
4,1,2,brcf,NA,BR-CD,BR-CD,10,2,3,1,1,3,brown,brown,grey,grey,brown,grey,circle,quadrat,circle,circle,quadrat,quadrat,Aufkleber,blurred
5,2,2,brdc,BR-B,BR-CD,NA,9,9,4,3,10,2,brown,grey,brown,brown,grey,grey,circle,quadrat,star,heart,circle,circle,Aufkleber,blurred
6,3,2,brdf,BR-B,NA,BR-CD,9,9,4,3,10,2,blue,black,orange,green,orange,brown,circle,quadrat,circle,circle,quadrat,quadrat,Aufkleber,blurred
4,4,2,ercf,NA,R-CD,NR-CD,2,2,1,2,1,2,brown,grey,grey,grey,grey,grey,circle,circle,circle,circle,circle,quadrat,Aufkleber,blurred
5,5,2,erdc,R-B,NR-CD,NA,10,3,1,3,6,1,brown,brown,brown,brown,brown,grey,quadrat,triangle,diamond,heart,circle,star,Aufkleber,blurred
6,6,2,erdf,R-B,NA,NR-CD,10,3,1,3,6,1,brown,blue,grey,blue,brown,grey,circle,circle,circle,circle,circle,quadrat,Aufkleber,blurred
4,7,2,zrcf,NA,NR-CD,R-CD,10,10,1,10,9,2,brown,brown,brown,brown,brown,grey,circle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,blurred
5,8,2,zrdc,NR-B,R-CD,NA,10,9,9,10,10,6,brown,grey,grey,grey,grey,grey,diamond,diamond,heart,triangle,quadrat,triangle,Aufkleber,blurred
6,9,2,zrdf,NR-B,NA,R-CD,10,9,9,10,10,6,black,green,grey,green,blue,green,circle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,blurred
5,1,11,brcf,NA,BR-DC,BR-CD,3,1,2,2,10,2,grey,grey,brown,brown,grey,brown,circle,quadrat,circle,circle,quadrat,quadrat,Aufkleber,blurred
6,2,11,brdc,BR-A,BR-DC,NA,9,9,1,5,9,5,grey,brown,grey,grey,brown,brown,quadrat,quadrat,star,circle,quadrat,triangle,Aufkleber,blurred
4,3,11,brdf,BR-A,NA,BR-CD,9,9,1,5,9,5,orange,black,blue,green,blue,brown,circle,quadrat,circle,circle,quadrat,quadrat,Aufkleber,blurred
5,4,11,ercf,NA,R-DC,NR-CD,10,9,1,9,3,1,grey,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,quadrat,Aufkleber,blurred
6,5,11,erdc,R-A,NR-DC,NA,9,1,4,6,4,6,grey,grey,grey,grey,grey,brown,quadrat,quadrat,star,quadrat,diamond,diamond,Aufkleber,blurred
4,6,11,erdf,R-A,NA,NR-CD,9,1,4,6,4,6,grey,green,blue,green,orange,orange,circle,circle,circle,circle,circle,quadrat,Aufkleber,blurred
5,7,11,zrcf,NA,NR-DC,R-CD,10,10,2,3,1,1,grey,grey,grey,grey,grey,brown,circle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,blurred
6,8,11,zrdc,NR-A,R-DC,NA,9,10,10,10,10,6,grey,brown,brown,brown,brown,brown,star,triangle,star,star,diamond,heart,Aufkleber,blurred
4,9,11,zrdf,NR-A,NA,R-CD,9,10,10,10,10,6,grey,brown,grey,grey,black,grey,circle,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,blurred
6,1,20,brcf,NA,BR-CD,BR-DC,9,3,3,10,2,9,brown,brown,grey,grey,brown,grey,quadrat,circle,quadrat,quadrat,circle,circle,Aufkleber,blurred
4,2,20,brdc,BR-B,BR-CD,NA,10,9,4,2,9,6,brown,grey,brown,brown,grey,grey,quadrat,diamond,quadrat,circle,quadrat,star,Aufkleber,blurred
5,3,20,brdf,BR-B,NA,BR-DC,10,9,4,2,9,6,orange,orange,grey,blue,orange,brown,quadrat,circle,quadrat,quadrat,circle,circle,Aufkleber,blurred
6,4,20,ercf,NA,R-CD,NR-DC,2,3,3,9,1,3,brown,grey,grey,grey,grey,grey,quadrat,quadrat,quadrat,quadrat,quadrat,circle,Aufkleber,blurred
4,5,20,erdc,R-B,NR-DC,NA,10,6,6,5,6,1,grey,grey,grey,grey,grey,brown,heart,triangle,triangle,heart,diamond,quadrat,Aufkleber,blurred
5,6,20,erdf,R-B,NA,NR-DC,10,6,6,5,6,1,green,brown,green,grey,black,grey,quadrat,quadrat,quadrat,quadrat,quadrat,circle,Aufkleber,blurred
6,7,20,zrcf,NA,NR-DC,R-DC,1,9,9,9,3,2,grey,grey,grey,grey,grey,brown,quadrat,circle,circle,circle,circle,circle,Aufkleber,blurred
4,8,20,zrdc,NR-B,R-CD,NA,9,9,9,9,10,3,brown,grey,grey,grey,grey,grey,diamond,triangle,heart,heart,quadrat,heart,Aufkleber,blurred
5,9,20,zrdf,NR-B,NA,R-DC,9,9,9,9,10,3,black,brown,green,brown,black,black,quadrat,circle,circle,circle,circle,circle,Aufkleber,blurred
5,1,3,brcf,NA,BR-EF,BR-EF,10,10,10,1,2,2,black,black,green,green,black,green,star,heart,star,star,heart,heart,Aufkleber,blurred
6,2,3,brdc,BR-A,BR-EF,NA,10,10,2,2,9,6,black,green,black,black,green,green,triangle,star,quadrat,quadrat,heart,quadrat,Aufkleber,blurred
4,3,3,brdf,BR-A,NA,BR-EF,10,10,2,2,9,6,blue,blue,brown,green,brown,orange,star,heart,star,star,heart,heart,Aufkleber,blurred
5,4,3,ercf,NA,R-EF,NR-EF,10,2,1,9,10,9,black,green,green,green,green,green,star,star,star,star,star,heart,Aufkleber,blurred
6,5,3,erdc,R-A,NR-EF,NA,10,2,3,4,2,4,black,black,black,black,black,green,heart,circle,diamond,heart,triangle,circle,Aufkleber,blurred
4,6,3,erdf,R-A,NA,NR-EF,10,2,3,4,2,4,grey,orange,green,grey,blue,black,star,star,star,star,star,heart,Aufkleber,blurred
5,7,3,zrcf,NA,NR-EF,R-EF,9,9,3,3,3,3,black,black,black,black,black,green,star,heart,heart,heart,heart,heart,Aufkleber,blurred
6,8,3,zrdc,NR-A,R-EF,NA,9,9,9,10,10,5,black,green,green,green,green,green,circle,quadrat,diamond,triangle,heart,quadrat,Aufkleber,blurred
4,9,3,zrdf,NR-A,NA,R-EF,9,9,9,10,10,5,brown,black,black,orange,green,orange,star,heart,heart,heart,heart,heart,Aufkleber,blurred
6,1,12,brcf,NA,BR-FE,BR-EF,1,3,2,9,10,1,green,green,black,black,green,black,star,heart,star,star,heart,heart,Aufkleber,blurred
4,2,12,brdc,BR-B,BR-FE,NA,10,9,3,4,9,1,green,black,green,green,black,black,circle,circle,quadrat,diamond,quadrat,quadrat,Aufkleber,blurred
5,3,12,brdf,BR-B,NA,BR-EF,10,9,3,4,9,1,blue,grey,black,green,green,brown,star,heart,star,star,heart,heart,Aufkleber,blurred
6,4,12,ercf,NA,R-FE,NR-EF,3,10,3,9,2,9,green,black,black,black,black,black,star,star,star,star,star,heart,Aufkleber,blurred
4,5,12,erdc,R-B,NR-FE,NA,10,1,2,4,1,4,green,green,green,green,green,black,quadrat,heart,heart,star,quadrat,diamond,Aufkleber,blurred
5,6,12,erdf,R-B,NA,NR-EF,10,1,2,4,1,4,grey,brown,black,grey,blue,orange,star,star,star,star,star,heart,Aufkleber,blurred
6,7,12,zrcf,NA,NR-FE,R-EF,3,3,2,2,10,1,green,green,green,green,green,black,star,heart,heart,heart,heart,heart,Aufkleber,blurred
4,8,12,zrdc,NR-B,R-FE,NA,10,9,9,9,9,1,green,black,black,black,black,black,star,circle,heart,quadrat,heart,diamond,Aufkleber,blurred
5,9,12,zrdf,NR-B,NA,R-EF,10,9,9,9,9,1,blue,brown,orange,green,brown,green,star,heart,heart,heart,heart,heart,Aufkleber,blurred
4,1,21,brcf,NA,BR-EF,BR-FE,10,9,3,9,2,2,black,black,green,green,black,green,heart,star,heart,heart,star,star,Aufkleber,blurred
5,2,21,brdc,BR-A,BR-EF,NA,10,9,5,4,10,3,black,green,black,black,green,green,triangle,triangle,diamond,heart,quadrat,star,Aufkleber,blurred
6,3,21,brdf,BR-A,NA,BR-FE,10,9,5,4,10,3,brown,blue,orange,blue,blue,green,heart,star,heart,heart,star,star,Aufkleber,blurred
4,4,21,ercf,NA,R-EF,NR-FE,3,3,1,3,9,10,black,green,green,green,green,green,heart,heart,heart,heart,heart,star,Aufkleber,blurred
5,5,21,erdc,R-A,NR-FE,NA,9,6,6,4,1,1,green,green,green,green,green,black,star,heart,quadrat,diamond,heart,triangle,Aufkleber,blurred
6,6,21,erdf,R-A,NA,NR-FE,9,6,6,4,1,1,grey,blue,green,blue,brown,brown,heart,heart,heart,heart,heart,star,Aufkleber,blurred
4,7,21,zrcf,NA,NR-FE,R-FE,10,9,2,10,2,10,green,green,green,green,green,black,heart,star,star,star,star,star,Aufkleber,blurred
5,8,21,zrdc,NR-A,R-EF,NA,9,10,10,9,10,3,black,green,green,green,green,green,quadrat,diamond,diamond,star,quadrat,circle,Aufkleber,blurred
6,9,21,zrdf,NR-A,NA,R-FE,9,10,10,9,10,3,green,green,blue,brown,blue,grey,heart,star,star,star,star,star,Aufkleber,blurred
6,1,4,brcf,NA,BR-BC,BR-BC,2,2,9,10,3,3,orange,orange,brown,brown,orange,brown,circle,diamond,circle,circle,diamond,diamond,Aufkleber,blurred
4,2,4,brdc,BR-A,BR-BC,NA,9,10,1,3,9,5,orange,brown,orange,orange,brown,brown,star,quadrat,star,quadrat,quadrat,diamond,Aufkleber,blurred
5,3,4,brdf,BR-A,NA,BR-BC,9,10,1,3,9,5,orange,brown,brown,blue,black,blue,circle,diamond,circle,circle,diamond,diamond,Aufkleber,blurred
6,4,4,ercf,NA,R-BC,NR-BC,3,2,2,2,9,3,orange,brown,brown,brown,brown,brown,circle,circle,circle,circle,circle,diamond,Aufkleber,blurred
4,5,4,erdc,R-A,NR-BC,NA,9,2,1,5,6,1,orange,orange,orange,orange,orange,brown,star,circle,quadrat,circle,diamond,quadrat,Aufkleber,blurred
5,6,4,erdf,R-A,NA,NR-BC,9,2,1,5,6,1,orange,brown,orange,brown,orange,orange,circle,circle,circle,circle,circle,diamond,Aufkleber,blurred
6,7,4,zrcf,NA,NR-BC,R-BC,2,2,1,9,3,10,orange,orange,orange,orange,orange,brown,circle,diamond,diamond,diamond,diamond,diamond,Aufkleber,blurred
4,8,4,zrdc,NR-A,R-BC,NA,10,10,10,9,9,2,orange,brown,brown,brown,brown,brown,triangle,diamond,quadrat,circle,quadrat,star,Aufkleber,blurred
5,9,4,zrdf,NR-A,NA,R-BC,10,10,10,9,9,2,green,brown,blue,brown,blue,grey,circle,diamond,diamond,diamond,diamond,diamond,Aufkleber,blurred
4,1,13,brcf,NA,BR-CB,BR-BC,3,9,1,3,9,2,brown,brown,orange,orange,brown,orange,circle,diamond,circle,circle,diamond,diamond,Aufkleber,blurred
5,2,13,brdc,BR-B,BR-CB,NA,9,10,1,6,9,6,brown,orange,brown,brown,orange,orange,quadrat,diamond,diamond,diamond,circle,circle,Aufkleber,blurred
6,3,13,brdf,BR-B,NA,BR-BC,9,10,1,6,9,6,blue,orange,green,black,grey,blue,circle,diamond,circle,circle,diamond,diamond,Aufkleber,blurred
4,4,13,ercf,NA,R-CB,NR-BC,1,1,2,3,1,9,brown,orange,orange,orange,orange,orange,circle,circle,circle,circle,circle,diamond,Aufkleber,blurred
5,5,13,erdc,R-B,NR-CB,NA,10,5,3,1,1,2,brown,brown,brown,brown,brown,orange,circle,quadrat,quadrat,star,quadrat,heart,Aufkleber,blurred
6,6,13,erdf,R-B,NA,NR-BC,10,5,3,1,1,2,grey,brown,blue,brown,black,blue,circle,circle,circle,circle,circle,diamond,Aufkleber,blurred
4,7,13,zrcf,NA,NR-CB,R-BC,2,1,9,9,2,10,brown,brown,brown,brown,brown,orange,circle,diamond,diamond,diamond,diamond,diamond,Aufkleber,blurred
5,8,13,zrdc,NR-B,R-CB,NA,10,10,10,9,9,3,brown,orange,orange,orange,orange,orange,circle,quadrat,heart,quadrat,heart,diamond,Aufkleber,blurred
6,9,13,zrdf,NR-B,NA,R-BC,10,10,10,9,9,3,black,grey,green,black,blue,orange,circle,diamond,diamond,diamond,diamond,diamond,Aufkleber,blurred
5,1,22,brcf,NA,BR-BC,BR-CB,9,10,9,3,3,9,orange,orange,brown,brown,orange,brown,diamond,circle,diamond,diamond,circle,circle,Aufkleber,blurred
6,2,22,brdc,BR-A,BR-BC,NA,10,9,2,6,9,5,orange,brown,orange,orange,brown,brown,star,diamond,diamond,heart,heart,diamond,Aufkleber,blurred
4,3,22,brdf,BR-A,NA,BR-CB,10,9,2,6,9,5,black,orange,black,green,brown,orange,diamond,circle,diamond,diamond,circle,circle,Aufkleber,blurred
5,4,22,ercf,NA,R-BC,NR-CB,9,9,3,2,1,2,orange,brown,brown,brown,brown,brown,diamond,diamond,diamond,diamond,diamond,circle,Aufkleber,blurred
6,5,22,erdc,R-A,NR-CB,NA,10,1,5,6,3,6,brown,brown,brown,brown,brown,orange,circle,star,triangle,circle,quadrat,star,Aufkleber,blurred
4,6,22,erdf,R-A,NA,NR-CB,10,1,5,6,3,6,grey,blue,blue,green,grey,green,diamond,diamond,diamond,diamond,diamond,circle,Aufkleber,blurred
5,7,22,zrcf,NA,NR-CB,R-CB,3,10,9,9,2,2,brown,brown,brown,brown,brown,orange,diamond,circle,circle,circle,circle,circle,Aufkleber,blurred
6,8,22,zrdc,NR-A,R-BC,NA,10,10,10,9,9,2,orange,brown,brown,brown,brown,brown,quadrat,quadrat,triangle,heart,star,diamond,Aufkleber,blurred
4,9,22,zrdf,NR-A,NA,R-CB,10,10,10,9,9,2,brown,green,brown,grey,orange,green,diamond,circle,circle,circle,circle,circle,Aufkleber,blurred
4,1,5,brcf,NA,BR-DE,BR-DE,10,2,2,10,9,3,grey,grey,black,black,grey,black,quadrat,star,quadrat,quadrat,star,star,Aufkleber,blurred
5,2,5,brdc,BR-B,BR-DE,NA,9,9,5,2,9,5,grey,black,grey,grey,black,black,quadrat,triangle,quadrat,star,heart,heart,Aufkleber,blurred
6,3,5,brdf,BR-B,NA,BR-DE,9,9,5,2,9,5,brown,black,blue,green,brown,blue,quadrat,star,quadrat,quadrat,star,star,Aufkleber,blurred
