model,semantics,planning_scale,relevant_property,sharpness,category,empirical_proportion,model_proportion,condition_n,summary_type,signed_residual,abs_residual
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,second,sharp,one_adjective,0.7452018530774321,0.16961789,1511,length,-0.5755839617657866,0.5755839617657866
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,second,sharp,three_adjectives,0.02382528127068167,0.3456478,1511,length,0.32182253061896676,0.32182253061896676
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,second,sharp,two_adjectives,0.23097286565188616,0.48473424,1511,length,0.25376137154217515,0.25376137154217515
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.5,both,blurred,one_adjective,0.05972797161442933,0.13594443,1691,length,0.07621645444529357,0.07621645444529357
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.5,both,blurred,three_adjectives,0.2891780011827321,0.37294573,1691,length,0.08376772473508404,0.08376772473508404
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.5,both,blurred,two_adjectives,0.6510940272028385,0.49110982,1691,length,-0.15998420898269994,0.15998420898269994
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.5,both,sharp,one_adjective,0.06816677696889478,0.13179928,1511,length,0.06363250367456835,0.06363250367456835
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.5,both,sharp,three_adjectives,0.27001985440105886,0.3812118,1511,length,0.11119193306117564,0.11119193306117564
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.5,both,sharp,two_adjectives,0.6618133686300463,0.48698887,1511,length,-0.17482449634038866,0.17482449634038866
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.5,first,blurred,one_adjective,0.3269230769230769,0.14455743,1664,length,-0.18236564558285934,0.18236564558285934
