model,order_planning_scale,relevant_property,sharpness,category,human_mean,model_mean,candidate_model_mean,summary_type,baseline_signed_residual,candidate_signed_residual,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,size_colour,0.045126353790613596,0.0615482486096204,0.061548248609620396,selection,0.016421894819006806,0.0164218948190068,0.016421894819006806,0.0164218948190068,6.938893903907228e-18
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,size_only,0.055956678700361,0.0431155234657039,0.0431155234657039,selection,-0.0128411552346571,-0.0128411552346571,0.0128411552346571,0.0128411552346571,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,colour_only,0.0,0.0076823682401371,0.0076823682401371,selection,0.0076823682401371,0.0076823682401371,0.0076823682401371,0.0076823682401371,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,redundant_form,0.6852589641434259,0.6705111163119519,0.6705111163119519,selection,-0.014747847831473981,-0.014747847831473981,0.014747847831473981,0.014747847831473981,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,size_colour,0.045816733067729,0.0632095535384235,0.0632095535384235,selection,0.0173928204706945,0.0173928204706945,0.0173928204706945,0.0173928204706945,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,size_only,0.2689243027888446,0.265617529880478,0.265617529880478,selection,-0.0033067729083666175,-0.0033067729083666175,0.0033067729083666175,0.0033067729083666175,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,colour_only,0.6278659611992945,0.6839153439153439,0.6839153439153439,selection,0.05604938271604942,0.05604938271604942,0.05604938271604942,0.05604938271604942,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,redundant_form,0.37213403880070506,0.2488683868224896,0.2488683868224896,selection,-0.12326565197821546,-0.12326565197821546,0.12326565197821546,0.12326565197821546,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,size_colour,0.0,0.0656155202821869,0.0656155202821869,selection,0.0656155202821869,0.0656155202821869,0.0656155202821869,0.0656155202821869,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,size_only,0.0,0.0088112305854241,0.0088112305854241,selection,0.0088112305854241,0.0088112305854241,0.0088112305854241,0.0088112305854241,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,sharp,colour_only,0.7162698412698413,0.669595238095238,0.669595238095238,selection,-0.04667460317460326,-0.04667460317460326,0.04667460317460326,0.04667460317460326,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,sharp,redundant_form,0.2817460317460314,0.2286480930766615,0.2286480930766615,selection,-0.053097938669369904,-0.053097938669369904,0.053097938669369904,0.053097938669369904,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,sharp,size_colour,0.0019841269841269,0.0958253968253967,0.0958253968253967,selection,0.09384126984126981,0.09384126984126981,0.09384126984126981,0.09384126984126981,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,sharp,size_only,0.0,0.0136349206349206,0.0136349206349206,selection,0.0136349206349206,0.0136349206349206,0.0136349206349206,0.0136349206349206,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,both,blurred,colour_only,0.0088339222614841,0.0468233215547703,0.0468233215547703,selection,0.0379893992932862,0.0379893992932862,0.0379893992932862,0.0379893992932862,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,both,blurred,redundant_form,0.9134275618374553,0.881808275488797,0.881808275488797,selection,-0.03161928634865829,-0.03161928634865829,0.03161928634865829,0.03161928634865829,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,both,blurred,size_colour,0.07773851590106001,0.0639797759566948,0.0639797759566948,selection,-0.013758739944365217,-0.013758739944365217,0.013758739944365217,0.013758739944365217,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,both,blurred,size_only,0.0,0.0103794124995538,0.0103794124995538,selection,0.0103794124995538,0.0103794124995538,0.0103794124995538,0.0103794124995538,0.0
