combination,relevant_property,sharpness,category,observed_mean,observed_lower,observed_upper,summary_type
dimension_form,both,blurred,CFD,0.005649717514124294,0,0.013108614232209739,Exact response
dimension_form,both,blurred,D,0.003766478342749529,0,0.009433962264150943,Exact response
dimension_form,both,blurred,DC,0.01694915254237288,0.00571401412275937,0.02835538752362949,Exact response
dimension_form,both,blurred,DCF,0.2900188323917137,0.2222222222222222,0.3646660957687224,Exact response
dimension_form,both,blurred,DF,0.4067796610169492,0.33586337760910817,0.4773606185274507,Exact response
dimension_form,both,blurred,DFC,0.03389830508474576,0.003766478342749529,0.07532956685499058,Exact response
dimension_form,both,blurred,F,0.01694915254237288,0.003780718336483932,0.03377110694183865,Exact response
dimension_form,both,blurred,FC,0.01694915254237288,0.0037593984962406013,0.033707865168539325,Exact response
dimension_form,both,blurred,FCD,0.0018832391713747645,0,0.005681818181818182,Exact response
dimension_form,both,blurred,FD,0.0018832391713747645,0,0.005681818181818182,Exact response
dimension_form,both,blurred,FDC,0,0,0,Exact response
dimension_form,both,sharp,C,0.10272536687631027,0.07337526205450734,0.1320754716981132,Exact response
dimension_form,both,sharp,CD,0,0,0,Exact response
dimension_form,both,sharp,CDF,0.03563941299790356,0.010482180293501049,0.07547169811320754,Exact response
dimension_form,both,sharp,CF,0.22012578616352202,0.1719077568134172,0.27044025157232704,Exact response
dimension_form,both,sharp,CFD,0.0041928721174004195,0,0.010482180293501049,Exact response
dimension_form,both,sharp,D,0.0020964360587002098,0,0.006289308176100629,Exact response
dimension_form,both,sharp,DC,0.05870020964360587,0.033542976939203356,0.0880503144654088,Exact response
dimension_form,both,sharp,DCF,0.22012578616352202,0.16352201257861634,0.27882599580712786,Exact response
dimension_form,both,sharp,DF,0.29559748427672955,0.22426624737945494,0.3689727463312369,Exact response
dimension_form,both,sharp,DFC,0.018867924528301886,0.0041928721174004195,0.03563941299790356,Exact response
dimension_form,both,sharp,F,0.010482180293501049,0.0020964360587002098,0.023060796645702306,Exact response
