semantics,rule,support,order,parameter_set,metric,mean,variance,groups,mcse,lower_mc95,upper_mc95
fixed,original_incremental,two,neutral,original_grid,speaker_size_first_given_set,0.4877707042014519,3.6122724367089014e-05,24,0.0002504257637251154,0.48727986970455067,0.48826153869835315
fixed,prefix_k0,fifteen,neutral,fitted_constants,listener_advantage,0.01890600076362341,2.3975637677131002e-05,24,0.00020402051604493437,0.018506120552175338,0.019305880975071483
fixed,prefix_k0,fifteen,neutral,fitted_constants,speaker_size_first_given_set,0.5395889238930961,1.1570044804447298e-05,24,0.00014172820234891267,0.5393111366164922,0.5398667111697
fixed,prefix_k0,fifteen,neutral,original_grid,listener_advantage,0.025886368197721204,7.876034875963264e-05,24,0.00036977928091847494,0.025161600807120994,0.026611135588321413
fixed,prefix_k0,fifteen,neutral,original_grid,speaker_size_first_given_set,0.4815557184439883,8.880057326510142e-05,24,0.0003926419003603396,0.4807861403192821,0.48232529656869455
fixed,prefix_k0,fifteen,stable,fitted_constants,listener_advantage,0.021540564449257518,3.453524655008387e-05,24,0.00024486123674555407,0.021060636425236232,0.022020492473278804
fixed,prefix_k0,fifteen,stable,fitted_constants,speaker_size_first_given_set,0.9941241241584353,6.263742307849894e-09,24,3.2976586569557125e-06,0.9941176607474677,0.994130587569403
fixed,prefix_k0,four,neutral,fitted_constants,listener_advantage,0.018875671785677447,2.2909994142350178e-05,24,0.00019943494023371287,0.01848477930281937,0.019266564268535524
fixed,prefix_k0,four,neutral,fitted_constants,speaker_size_first_given_set,0.5395889238930961,1.1570044804447298e-05,24,0.00014172820234891267,0.5393111366164922,0.5398667111697
fixed,prefix_k0,four,neutral,original_grid,listener_advantage,0.022572261331926868,7.70579146711137e-05,24,0.0003657609900735348,0.02185536979138274,0.023289152872470995
fixed,prefix_k0,four,neutral,original_grid,speaker_size_first_given_set,0.4815557184439883,8.8800573265101e-05,24,0.00039264190036033864,0.4807861403192821,0.48232529656869455
fixed,prefix_k0,four,stable,fitted_constants,listener_advantage,0.020909201473300082,3.424741099725969e-05,24,0.0002438386982394948,0.020431277624750672,0.02138712532184949
fixed,prefix_k0,four,stable,fitted_constants,speaker_size_first_given_set,0.9941241241584353,6.263742307849907e-09,24,3.297658656955716e-06,0.9941176607474677,0.994130587569403
fixed,prefix_k0,two,neutral,fitted_constants,listener_advantage,0.020555094965320944,3.5061341337086514e-05,24,0.00024671924178258815,0.02007152525142707,0.02103866467921482
fixed,prefix_k0,two,neutral,fitted_constants,speaker_size_first_given_set,0.5395889238930961,1.1570044804447298e-05,24,0.00014172820234891267,0.5393111366164922,0.5398667111697
fixed,prefix_k0,two,neutral,original_grid,listener_advantage,-0.027179289582319664,0.0003729212417972089,24,0.0008046320348168395,-0.02875636837056067,-0.025602210794078657
fixed,prefix_k0,two,neutral,original_grid,speaker_size_first_given_set,0.4815557184439883,8.880057326510142e-05,24,0.0003926419003603396,0.4807861403192821,0.48232529656869455
fixed,prefix_k0,two,stable,fitted_constants,listener_advantage,0.022449439094880563,3.004920393449378e-05,24,0.00022840480912344726,0.022001765668998606,0.02289711252076252
fixed,prefix_k0,two,stable,fitted_constants,speaker_size_first_given_set,0.9941241241584353,6.263742307849904e-09,24,3.2976586569557155e-06,0.9941176607474677,0.994130587569403
fixed,prefix_k05,fifteen,neutral,fitted_constants,listener_advantage,0.014547313654101654,1.4613170971352034e-05,24,0.0001592799061147721,0.0142351250381167,0.014859502270086608
fixed,prefix_k05,fifteen,neutral,fitted_constants,speaker_size_first_given_set,0.5311274070381983,7.148016828092765e-06,24,0.00011139906389939303,0.5309090648729554,0.5313457492034411
fixed,prefix_k05,fifteen,neutral,original_grid,listener_advantage,0.010490518644314613,6.724273493220268e-05,24,0.0003416736151026244,0.009820838358713469,0.011160198929915757
fixed,prefix_k05,fifteen,neutral,original_grid,speaker_size_first_given_set,0.4852525138651603,5.9910537520690434e-05,24,0.00032250790666634794,0.48462039836809423,0.4858846293622263
fixed,prefix_k05,fifteen,stable,fitted_constants,listener_advantage,0.01643467116461358,1.8507939573966228e-05,24,0.0001792535621351381,0.01608333418282871,0.01678600814639845
fixed,prefix_k05,fifteen,stable,fitted_constants,speaker_size_first_given_set,0.9939450622999461,4.065378901200774e-09,24,2.6566801616399633e-06,0.9939398552068293,0.9939502693930629
fixed,prefix_k05,four,neutral,fitted_constants,listener_advantage,0.020294636787891205,3.140852739207366e-05,24,0.00023351379699927105,0.019836949745772634,0.020752323830009776
fixed,prefix_k05,four,neutral,fitted_constants,speaker_size_first_given_set,0.5395889238930961,1.1570044804447298e-05,24,0.00014172820234891267,0.5393111366164922,0.5398667111697
