model,relevant_property,sharpness,metric,mean,lower_95,upper_95,trials,posterior_draws
K-UPD-HKO,all,all,listener_advantage,0.005750519808479035,0.004547700410314839,0.007179833360997974,3034,200
K-UPD-HKO,both,blurred,speaker_size_first_given_set,0.9708785243201982,0.9654038599861381,0.9751216656252806,539,200
K-UPD-HKO,both,blurred,listener_size_first,0.17862867130795052,0.17337044361911802,0.18375609633618104,539,200
K-UPD-HKO,both,blurred,listener_colour_first,0.16777321767622286,0.16242821009659134,0.17310932903491702,539,200
K-UPD-HKO,both,blurred,listener_advantage,0.010855453631727668,0.007337038981985223,0.013676937410963614,539,200
K-UPD-HKO,both,sharp,speaker_size_first_given_set,0.9672216320354218,0.9617208652486047,0.9726188747013855,476,200
K-UPD-HKO,both,sharp,listener_size_first,0.2015507833801526,0.19601647358696664,0.2067173134164038,476,200
K-UPD-HKO,both,sharp,listener_colour_first,0.18963863480982288,0.18179092147689196,0.19799494028281994,476,200
K-UPD-HKO,both,sharp,listener_advantage,0.011912148570329685,0.005733913233274255,0.017662765582814585,476,200
K-UPD-HKO,first,blurred,speaker_size_first_given_set,0.9791894582666302,0.975238970927018,0.9818676350523243,527,200
K-UPD-HKO,first,blurred,listener_size_first,0.19724492023442303,0.1902390583233952,0.20365474090679414,527,200
K-UPD-HKO,first,blurred,listener_colour_first,0.14718353183517174,0.14508371227786945,0.1495143463006246,527,200
K-UPD-HKO,first,blurred,listener_advantage,0.05006138839925125,0.04414501916240193,0.055092084135028384,527,200
K-UPD-HKO,first,sharp,speaker_size_first_given_set,0.9767531708262672,0.9731068658317126,0.9800830801098873,475,200
K-UPD-HKO,first,sharp,listener_size_first,0.24772744291823418,0.23842571658187223,0.25698343188166956,475,200
K-UPD-HKO,first,sharp,listener_colour_first,0.1392616347128521,0.1365328087381191,0.1426251887877059,475,200
K-UPD-HKO,first,sharp,listener_advantage,0.10846580820538207,0.09919528712347828,0.11781856333962638,475,200
K-UPD-HKO,second,blurred,speaker_size_first_given_set,0.9573245676013784,0.9490868513991978,0.9637396568882423,540,200
K-UPD-HKO,second,blurred,listener_size_first,0.0787437407892623,0.07526900935901357,0.08213230962667782,540,200
K-UPD-HKO,second,blurred,listener_colour_first,0.1457978460075124,0.14282673820496716,0.14888660143535887,540,200
K-UPD-HKO,second,blurred,listener_advantage,-0.06705410521825013,-0.07100276845728236,-0.06335127917611011,540,200
K-UPD-HKO,second,sharp,speaker_size_first_given_set,0.9468773889124352,0.9369434239233807,0.9570767562293769,477,200
K-UPD-HKO,second,sharp,listener_size_first,0.08742059609618678,0.08398036450080264,0.09153220813479603,477,200
K-UPD-HKO,second,sharp,listener_colour_first,0.16240715562272676,0.158563457657037,0.1663508144341026,477,200
K-UPD-HKO,second,sharp,listener_advantage,-0.07498655952653996,-0.08013198512794717,-0.06930918164871895,477,200
K-UPD-HO,all,all,speaker_size_first_given_set,0.9663419571733104,0.9610055337234397,0.9699466317629386,3034,200
K-UPD-HO,all,all,listener_size_first,0.16075807202356274,0.15758913743121647,0.16378978409394682,3034,200
K-UPD-HO,all,all,listener_colour_first,0.15531449866244318,0.15272690255980076,0.15798296995265168,3034,200
K-UPD-HO,all,all,listener_advantage,0.005443573361119528,0.0044615766499643186,0.006610431246906348,3034,200
K-UPD-HO,both,blurred,speaker_size_first_given_set,0.9706464469339627,0.9657817552506516,0.9753735675830432,539,200
K-UPD-HO,both,blurred,listener_size_first,0.16937284218906712,0.16503573193890408,0.17377012611321196,539,200
K-UPD-HO,both,blurred,listener_colour_first,0.15987649642661267,0.15624129066224401,0.16371326529284977,539,200
K-UPD-HO,both,blurred,listener_advantage,0.009496345762454433,0.007360575183141107,0.011726814535614648,539,200
K-UPD-HO,both,sharp,speaker_size_first_given_set,0.9657234677634843,0.9593444666123464,0.9713305671293357,476,200
K-UPD-HO,both,sharp,listener_size_first,0.19912865753318088,0.19317919773141515,0.20485465195815852,476,200
K-UPD-HO,both,sharp,listener_colour_first,0.19023585210876243,0.18333760498896282,0.19776115828906832,476,200
K-UPD-HO,both,sharp,listener_advantage,0.008892805424418415,0.004286119872819756,0.013442233092947333,476,200
K-UPD-HO,first,blurred,speaker_size_first_given_set,0.9763183023289064,0.9721519538349632,0.9797085565059064,527,200
K-UPD-HO,first,blurred,listener_size_first,0.18520710751203812,0.1786095211069904,0.19114912749038185,527,200
K-UPD-HO,first,blurred,listener_colour_first,0.14047656646278311,0.13818531066667772,0.1426708344044659,527,200
K-UPD-HO,first,blurred,listener_advantage,0.04473054104925502,0.039008394847690496,0.04949707355275826,527,200
K-UPD-HO,first,sharp,speaker_size_first_given_set,0.9743038293702142,0.9699003535158727,0.9781032184452313,475,200
K-UPD-HO,first,sharp,listener_size_first,0.24713535927291858,0.23749221984676783,0.2563584450098612,475,200
K-UPD-HO,first,sharp,listener_colour_first,0.13787631605747921,0.1345676729167251,0.14084216206765326,475,200
K-UPD-HO,first,sharp,listener_advantage,0.10925904321543936,0.10117734993370381,0.11795246266336938,475,200
K-UPD-HO,second,blurred,speaker_size_first_given_set,0.961911582216549,0.9545786263913324,0.967378344222269,540,200
K-UPD-HO,second,blurred,listener_size_first,0.08243095288837086,0.07979694038250007,0.08498916047314495,540,200
K-UPD-HO,second,blurred,listener_colour_first,0.1429120914792476,0.13985214931328638,0.1463458796884146,540,200
K-UPD-HO,second,blurred,listener_advantage,-0.06048113859087676,-0.06383549940265955,-0.05691566190605841,540,200
K-UPD-HO,second,sharp,speaker_size_first_given_set,0.9481601128634761,0.9385469158767754,0.955936354071389,477,200
