contrast,semantics,rule,support,order,parameter_set,mean,variance,groups,mcse,lower_mc95,upper_mc95
local_normalizers_minus_raw_prefix,fixed,prefix_k05,four,stable,fitted_constants,0.0009950939288833314,3.1080043347041546e-07,24,2.3228949306547164e-05,0.0009495651882424989,0.001040622669524164
local_normalizers_minus_raw_prefix,fixed,prefix_k05,two,neutral,fitted_constants,-4.589789196855302e-19,1.5183834329155582e-35,24,1.623601659524815e-19,-7.77204844952394e-19,-1.4075299441866646e-19
local_normalizers_minus_raw_prefix,fixed,prefix_k05,two,neutral,original_grid,5.179306058108088e-20,2.774116537297982e-37,24,2.1945784433280367e-20,8.779323091851361e-21,9.480679807031041e-20
local_normalizers_minus_raw_prefix,fixed,prefix_k05,two,stable,fitted_constants,-6.164050751304255e-19,8.260417773158043e-35,24,3.786951686831954e-19,-1.3586476057494885e-18,1.2583745548863746e-19
local_normalizers_minus_raw_prefix,fixed,prefix_k1,fifteen,neutral,fitted_constants,-0.009301168432242109,5.973412261827586e-06,24,0.00010183568823848654,-0.009500766381189543,-0.009101570483294675
local_normalizers_minus_raw_prefix,fixed,prefix_k1,fifteen,neutral,original_grid,-0.01948358149043341,1.423728294173144e-05,24,0.00015721801775614856,-0.01979172880523546,-0.01917543417563136
local_normalizers_minus_raw_prefix,fixed,prefix_k1,fifteen,stable,fitted_constants,-0.010780829548517216,1.042772905705572e-05,24,0.0001345499768844671,-0.011044547503210772,-0.010517111593823661
local_normalizers_minus_raw_prefix,fixed,prefix_k1,four,neutral,fitted_constants,0.001679423179643475,3.5201295272982547e-06,24,7.817503428136635e-05,0.001526200112451997,0.001832646246834953
local_normalizers_minus_raw_prefix,fixed,prefix_k1,four,neutral,original_grid,-0.04975155091424658,0.00018022039034866854,24,0.0005593591173236609,-0.05084789478420095,-0.04865520704429221
local_normalizers_minus_raw_prefix,fixed,prefix_k1,four,stable,fitted_constants,0.0013740824656707916,7.048587548981073e-07,24,3.4981611114163217e-05,0.0013055185078870318,0.0014426464234545515
local_normalizers_minus_raw_prefix,fixed,prefix_k1,two,neutral,fitted_constants,-5.7563907344497055e-19,2.924427164930295e-35,24,2.253248875439784e-19,-1.0172758530311683e-18,-1.3400229385877293e-19
local_normalizers_minus_raw_prefix,fixed,prefix_k1,two,neutral,original_grid,1.2228065782160515e-19,4.7552666774368595e-37,24,2.873268402881037e-20,6.596459712513682e-20,1.7859671851807347e-19
local_normalizers_minus_raw_prefix,fixed,prefix_k1,two,stable,fitted_constants,-7.479549387253334e-19,8.371976069914836e-35,24,3.812437629251852e-19,-1.4951927140586964e-18,-7.171633919703828e-22
local_normalizers_minus_raw_prefix,updating,prefix_k05,fifteen,neutral,fitted_constants,-0.004368191631834842,1.2558566254380433e-06,24,4.669375377269953e-05,-0.004459711389229333,-0.004276671874440351
local_normalizers_minus_raw_prefix,updating,prefix_k05,fifteen,neutral,original_grid,-0.015454671650675733,2.6029816965274364e-06,24,6.722399456563208e-05,-0.015586430680024372,-0.015322912621327095
local_normalizers_minus_raw_prefix,updating,prefix_k05,fifteen,stable,fitted_constants,-0.0051113110497481755,2.5499076645295533e-06,24,6.653512627700605e-05,-0.005241719897251107,-0.004980902202245244
local_normalizers_minus_raw_prefix,updating,prefix_k05,four,neutral,fitted_constants,0.001397654369907625,1.7984996222379997e-06,24,5.587839633969936e-05,0.0012881327130818143,0.0015071760267334358
local_normalizers_minus_raw_prefix,updating,prefix_k05,four,neutral,original_grid,-0.03973951518027582,5.0677892539927725e-05,24,0.0002966183614111969,-0.04032088716864177,-0.03915814319190987
local_normalizers_minus_raw_prefix,updating,prefix_k05,four,stable,fitted_constants,0.0009802422783071103,3.4142046777481407e-07,24,2.434633170858821e-05,0.0009325234681582774,0.0010279610884559433
local_normalizers_minus_raw_prefix,updating,prefix_k05,two,neutral,fitted_constants,-1.3516738501383126e-05,1.3735725234005655e-08,24,4.883312932623352e-06,-2.3088031849324894e-05,-3.945445153441356e-06
local_normalizers_minus_raw_prefix,updating,prefix_k05,two,neutral,original_grid,-0.00372160538956845,2.9975640811075918e-06,24,7.213947814808795e-05,-0.0038629987667387028,-0.0035802120123981976
