combination,relevant_property,sharpness,response,n,observed_percent,fixed_predicted_percent,updating_predicted_percent,fixed_residual_pp,updating_residual_pp,fixed_absolute_error_advantage_pp
dimension_color,first,sharp,CF,475,9.894736842105264,4.214191842135665,4.35299263873318,5.680544999969599,5.541744203372083,-0.13880079659751507
dimension_color,first,sharp,CFD,475,0.21052631578947367,0.34365816041244734,0.33950707911955413,-0.13313184462297364,-0.12898076333008046,-0.004151081292893188
dimension_color,first,sharp,D,475,27.157894736842103,24.491330068033324,26.261708098452335,2.6665646688087796,0.8961866383897676,-1.770378030419012
dimension_color,first,sharp,DC,475,4.421052631578947,3.263481592175468,3.204573425332096,1.1575710394034795,1.216479206246851,0.058908166843371634
dimension_color,first,sharp,DCF,475,19.36842105263158,15.330021668233401,14.57858182329637,4.038399384398178,4.78983922933521,0.7514398449370324
dimension_color,first,sharp,DF,475,23.157894736842106,35.46685689016998,34.587758164430205,-12.308962153327874,-11.4298634275881,-0.8790987257397742
dimension_color,first,sharp,DFC,475,2.3157894736842106,6.007508556258426,5.78053393918062,-3.691719082574215,-3.464744465496409,-0.22697461707780614
dimension_color,first,sharp,F,475,10.31578947368421,6.778196398230602,6.7421669604843055,3.5375930754536085,3.5736225131999046,0.03602943774629608
dimension_color,first,sharp,FC,475,1.0526315789473684,1.525494610954103,1.5800215253069956,-0.4728630320067345,-0.5273899463596273,0.05452691435289276
dimension_color,first,sharp,FCD,475,0.0,0.15355822906736288,0.15137198605885133,-0.15355822906736288,-0.15137198605885133,-0.0021862430085115405
dimension_color,first,sharp,FD,475,0.21052631578947367,0.2354407056240595,0.24559371382632447,-0.024914389834585805,-0.035067398036850786,0.01015300820226498
dimension_color,first,sharp,FDC,475,0.0,0.4548839994300469,0.44849521009554283,-0.4548839994300469,-0.44849521009554283,-0.006388789334504062
dimension_color,second,blurred,C,540,61.48148148148148,75.31107429088554,75.14265613324683,-13.829592809404067,-13.66117465176535,-0.1684181576387167
dimension_color,second,blurred,CD,540,0.0,0.10790840153543507,0.11161831067677595,-0.10790840153543507,-0.11161831067677595,0.0037099091413408817
dimension_color,second,blurred,CDF,540,0.5555555555555556,0.2946531210086192,0.2922263098941094,0.2609024345469364,0.26332924566144617,0.002426811114509793
dimension_color,second,blurred,CF,540,27.037037037037038,10.677994371606662,10.640483900418415,16.359042665430376,16.39655313661862,0.037510471188245686
dimension_color,second,blurred,CFD,540,0.0,0.3630783577862646,0.3538504963311089,-0.3630783577862646,-0.3538504963311089,-0.009227861455155797
