bias,color_semvalue,gamma,k,sigma,steepness,wf
0.28561673,0.9393563,3.2945757,0.3377174,0.09999712,1.0603225,0.9064778
0.29295677,0.93918324,3.3871083,0.31629443,0.09999575,0.64298064,0.93426764
0.28758842,0.93915206,3.4270072,0.3500785,0.09999627,0.5644493,0.9377834
0.2647905,0.9392451,3.4269445,0.37941343,0.09999849,0.45156556,0.94806486
0.2798442,0.9396729,3.3556607,0.39140534,0.0999944,0.5440522,0.9347325
0.2539388,0.9396198,3.519716,0.30905128,0.099998176,0.51846254,0.9151837
0.32417956,0.94000745,3.3846946,0.33129928,0.09999838,0.3924041,0.9196923
0.31010133,0.93977296,3.3953233,0.23785065,0.099996366,0.6018767,0.90589064
0.31649554,0.9395702,3.4013505,0.14980584,0.09999927,0.6271622,0.8872239
0.3206113,0.93951416,3.386231,0.13799675,0.09999923,0.593755,0.88654244
0.32532743,0.93956196,3.4242296,0.12103621,0.09999781,0.58237034,0.8882401
0.3348381,0.9397324,3.2983184,0.18442662,0.09999936,0.815798,0.89648557
0.26956007,0.93990207,3.4276636,0.3012576,0.09999599,1.1453362,0.90035903
0.3064688,0.9396124,3.4457026,0.15712874,0.099997655,0.903324,0.8919147
0.30004087,0.9396104,3.3923638,0.20123161,0.0999967,1.0974998,0.8977418
0.31809473,0.93994904,3.2847953,0.21105604,0.09999545,1.4781591,0.89495933
0.2725556,0.9396474,3.357634,0.334057,0.0999985,0.9736427,0.907227
0.30699155,0.93988746,3.3563104,0.2714572,0.09999894,0.5804452,0.9050043
0.29153472,0.9401686,3.3694706,0.26860157,0.099997275,0.7201619,0.89302
0.2892911,0.93947333,3.3384318,0.33629113,0.099999145,0.78338647,0.91432637
0.28334418,0.9395523,3.3857377,0.33350897,0.09999812,0.5764395,0.9274254
0.28517792,0.93942285,3.4361372,0.284244,0.0999967,0.54914486,0.9174519
0.29533365,0.93966186,3.2968125,0.36396933,0.099995635,0.7290268,0.918542
0.29333234,0.93984306,3.2880094,0.27205402,0.09999827,1.1518925,0.9041368
0.27978608,0.9397204,3.4104123,0.22972113,0.09999788,1.1566244,0.8916762
0.30576357,0.9397119,3.2994065,0.37127912,0.09999714,0.4673031,0.930082
0.31794745,0.94011784,3.1475904,0.41333908,0.09999692,0.79146063,0.9202238
0.2598136,0.93942434,3.6668534,0.20946588,0.09999752,0.44637862,0.89349365
0.29065457,0.9401183,3.3851182,0.22010985,0.099996425,0.76196074,0.88620406
0.2886488,0.93933284,3.4896486,0.27591372,0.09999948,0.48052645,0.9157435
0.28236163,0.9397912,3.6742833,0.20359533,0.099998854,0.3626371,0.8994129
0.27343887,0.9398789,3.8551216,0.15462694,0.09999901,0.30053976,0.8893529
0.27043146,0.9387777,3.4890676,0.43376556,0.099997714,0.36804485,0.95215106
0.28945336,0.93943024,3.417499,0.28132948,0.09999763,0.51704085,0.9168233
0.2844249,0.93980396,3.2591643,0.3786653,0.099998794,1.0176722,0.9148687
0.26631948,0.93964195,3.3589761,0.37708402,0.09999849,0.91433054,0.9080731
0.26881054,0.93951225,3.5095704,0.20222118,0.09999706,1.0462962,0.88589734
0.28182557,0.9394468,3.300488,0.38716322,0.099997245,1.1013482,0.918239
0.27053016,0.93923247,3.4026191,0.29717323,0.09999833,1.1087447,0.90925217
0.27974626,0.93949604,3.4180508,0.32413685,0.09999587,0.6633238,0.91167825
0.28774998,0.9400389,3.3295987,0.33445597,0.099997066,0.65312296,0.9044296
0.32539847,0.940662,3.1324592,0.3796961,0.099997796,0.77438843,0.9199852
0.29644507,0.93926156,3.4304461,0.26430225,0.09999613,0.56709546,0.91775244
0.2873324,0.9399825,3.265348,0.38014725,0.09999812,0.9044375,0.9070974
0.2976128,0.939998,3.2251654,0.41420367,0.09998665,0.7483729,0.90961474
0.26161012,0.93946123,3.5175838,0.20556512,0.09999976,1.2773224,0.88604087
0.27262172,0.9394621,3.3482962,0.35612625,0.09998719,1.2070968,0.91180086
0.28952682,0.94003487,3.2818995,0.34572273,0.09999714,1.0297151,0.9037296
0.30075943,0.939538,3.345729,0.25562435,0.09999949,0.8682964,0.9084804
0.2891879,0.9395944,3.318763,0.30107343,0.09999652,1.120887,0.91132194
0.28126138,0.94000614,3.4027205,0.29258344,0.099998355,0.70444536,0.89351994
0.28505898,0.9391831,3.640757,0.17519727,0.09999843,0.39599872,0.910105
0.2691238,0.9391936,3.6068172,0.28626487,0.09998836,0.36226714,0.92830336
0.2923655,0.93946946,3.3850548,0.33452734,0.099998906,0.5491887,0.92065156
0.3176711,0.9398916,3.228478,0.34525004,0.099998966,0.6724421,0.9272864
0.2914672,0.93987596,3.2635121,0.36905155,0.09999975,0.82795346,0.91436833
0.32157755,0.9402126,3.23671,0.30679807,0.09999963,0.60437745,0.9163145
0.3178199,0.9402759,3.2903867,0.3037565,0.09999744,0.60853225,0.90547544
0.31316113,0.93946505,3.1982124,0.36701378,0.099997595,0.9322481,0.92845875
0.28600174,0.93934125,3.4933338,0.20514777,0.09999921,0.68608373,0.90031874
0.3062262,0.9402092,3.224617,0.34432754,0.09999986,0.9540167,0.9016223
0.28818473,0.9393194,3.3976078,0.35811985,0.0999968,0.4834529,0.9425303
0.30651617,0.9390727,3.2181227,0.41953167,0.09999521,0.5498208,0.95135933
0.30605757,0.939375,3.243888,0.40281948,0.09999663,0.50694835,0.94853795
0.29720235,0.93921554,3.3157272,0.33322164,0.09999806,0.7801094,0.92302
0.30463392,0.9397288,3.4172845,0.21095572,0.09999734,0.60521084,0.90332824
0.30756152,0.9401823,3.1778808,0.41338018,0.09999936,0.823512,0.9198752
0.27088195,0.93979645,3.4644444,0.27607295,0.0999967,0.83788407,0.89855266
0.29834405,0.94002366,3.2236323,0.34096128,0.099999845,1.3383133,0.9058515
0.29089648,0.93977165,3.3590927,0.24226037,0.09999839,1.1659596,0.88734365
0.29395872,0.9395566,3.3903232,0.28649697,0.09999424,0.6709703,0.91291827
0.27259177,0.94022536,3.298999,0.381193,0.09999853,0.64837146,0.9088822
0.26050827,0.93985593,3.3677187,0.41549927,0.099996366,0.5786637,0.9176292
0.3113122,0.9394231,3.4426897,0.22675213,0.09999784,0.63824177,0.90029836
0.2973594,0.93970513,3.4210114,0.23150253,0.09999917,0.7070307,0.895037
0.30263993,0.9392932,3.4506216,0.23433045,0.09999555,0.47438666,0.90841365
0.2805423,0.9399079,3.4407427,0.22231115,0.099998,0.9033995,0.8863751
0.31103602,0.9395885,3.4726152,0.19589524,0.09999762,0.47310796,0.8926087
0.3102019,0.93939793,3.3411806,0.25457197,0.09999939,0.72547257,0.909479
0.27899998,0.9396777,3.4637241,0.26608452,0.09999166,0.600922,0.9029718
0.27048504,0.9396757,3.497223,0.2679232,0.09999166,0.5599858,0.9036588
0.27676657,0.9397969,3.3840437,0.23849605,0.09999976,0.8415385,0.8969801
0.29984447,0.9396595,3.389761,0.31613076,0.09999961,0.5445997,0.9060383
